Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE2-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE3-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE4-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE5-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE1-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE2-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE3-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE4-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE5-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),PLENUM-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE1-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE2-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE3-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE4-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE5-1:Zone Windows Total Heat Gain Energy [J](Hourly),WF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WR-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WL-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WALL-1PF:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PR:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PB:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PL:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),TOP-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),FRONT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),RIGHT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),BACK-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),LEFT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly) 
 07/31  01:00:00,20.262499999999996,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.741397226434835,21.731082967611613,21.711843170361945,21.723474168280273,21.73135999452689,21.848365151997825 
 07/31  02:00:00,20.4625,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.24879361297447,21.58521889930839,21.562616632926762,21.600815832186793,21.57374234876387,21.825901669425136 
 07/31  03:00:00,21.1,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.811963956805748,21.543005162222997,21.50043571010874,21.56582206370086,21.506782089982742,21.7334009307504 
 07/31  04:00:00,20.7875,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46416514912505,21.477300311226756,21.438845142701368,21.515400055753847,21.44246336399224,21.646809413287706 
 07/31  05:00:00,19.5375,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,0.0,0.0,0.0,0.0,0.0,12212.881217053196,14222.22584087105,18901.048127056645,37246.350416082656,25652.617552968986,13693.092217129308,37989.89614462716,26816.29312400533,58652.46675294466,19462.602438694368,4204582.5407454455,88048.30736884152,80448.87937201596,167784.5155473581,58387.80731608308,22.18480207604366,21.35828478196113,21.343011093144742,21.422256100656785,21.344052730003963,21.572213155317115 
 07/31  06:00:00,20.65,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,329545.7014559149,609255.8304545543,1613342.1080250472,155563.5319350409,0.0,169152.12095442545,186165.65142820505,479001.8367878203,818812.7827753855,558917.3634588602,169386.87773988923,470201.9838338413,649775.377613601,1255019.283720198,240757.12099997333,55238988.694174856,1118017.930442761,1949326.1328408022,3590178.1149045015,722271.3629999196,21.9506346534816,21.348099975058858,21.418888037478172,21.52762064221735,21.345630498955785,21.50612829980215 
 07/31  07:00:00,23.074999999999996,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,1900429.5119965086,3343490.0789685743,6920173.10893758,830601.1946221304,0.0,567555.2526115332,585944.099554267,2259818.9251736365,2917498.492363121,2028496.9299001354,501008.7805385145,1393891.3671166415,2978433.5979858907,4665471.92181718,712106.1159376625,211587247.12086418,3417675.230606312,8935300.79395767,13346309.022247504,2136318.347812987,21.900367224214023,21.68115713336415,22.33208602842853,22.451439585862936,21.6678970251553,21.496494926358125 
 07/31  08:00:00,24.2125,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,3185760.096603934,5931404.569701734,8636132.751966279,1293252.7652111528,0.0,1001485.9455544786,974814.8886136485,4060274.639335675,3462760.8888726006,2532596.172875051,780973.544295768,2178153.024550315,5303743.487415262,6285660.432147257,1110032.5161582213,415433739.86493444,5519795.877353184,15911230.46224578,17981110.580486827,3330097.5484746625,22.141459454800128,22.138852854270695,23.748152068907252,23.424754430559158,22.127095250033783,21.6053226274127 
 07/31  09:00:00,25.8375,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,4397198.645717112,7160237.718369993,7083584.074394811,1728277.9330750173,0.0,1347855.448995432,1278357.951555517,4811794.864732556,2674609.6042395765,1958931.3431309985,996553.3832698658,2784457.270581576,6353048.903881243,5403657.525039275,1416445.752352013,612953507.2849348,7161624.280670868,19059146.711643722,15458003.903595963,4249337.257056038,22.715018315667372,22.681109477002217,25.091499448407312,23.91739360387456,22.64272848190091,21.80110381799772 
 07/31  10:00:00,27.7,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,5430807.817294068,7147390.972509735,5775723.212504219,2083003.382840816,0.0,1594062.1052989843,1498965.8564729316,4685136.844288604,2137856.723051482,1479134.7871120563,1133590.9040071005,3512038.423450524,6404280.237905708,3592463.4327757126,1611223.290033146,777926423.0026817,8676930.738164239,19212840.713717118,10276801.131464949,4833669.870099437,23.600156634920925,23.30243870307804,26.08637149535783,24.11198171815289,23.19873477668957,22.043803640658084 
 07/31  11:00:00,28.987499999999997,199584.0,86184.0,199584.0,86184.0,373464.00000000006,608256.0,262656.0,760320.0000000001,262656.0,1138176.0,0.0,6210023.83784261,5979659.012650231,6026301.3127863705,2249397.6473463764,0.0,1727913.9961228638,1777075.3679253776,3744551.447878606,2134887.6681336765,1472380.8050518525,1184317.2465559081,6105881.177229593,5590830.764957422,3377720.297174186,1683322.9021982828,889963504.704427,12251672.595629774,16772492.29487226,9662494.948473696,5049968.706594846,24.850919559090002,23.91263228959025,26.581853987066054,24.401262058508173,23.715942603588523,22.33634642747844 
