Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE2-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE3-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE4-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE5-1 LIGHTS 1:Lights Electricity Energy [J](Hourly),SPACE1-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE2-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE3-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE4-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),SPACE5-1 ELECEQ 1:Electric Equipment Electricity Energy [J](Hourly),PLENUM-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE1-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE2-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE3-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE4-1:Zone Windows Total Heat Gain Energy [J](Hourly),SPACE5-1:Zone Windows Total Heat Gain Energy [J](Hourly),WF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DF-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WR-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),DB-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WL-1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WALL-1PF:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PR:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PB:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),WALL-1PL:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),TOP-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),FRONT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),RIGHT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),BACK-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),LEFT-1:Surface Outside Face Solar Radiation Heat Gain Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly) 
 06/24  05:00:00,9.625,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,1154467.525073383,5055996.149355819,0.0,0.0,251066.70013837953,88994.59022460613,1747135.5443940687,5252867.806979574,1249641.8303542722,208201.02320290968,527822.1399169117,2276119.4361342443,6911863.253056654,270075.20145373733,25604197.104667746,1316674.34174596,6828358.30840273,19772461.2730883,810225.6043612118,19.229168798353694,19.49271698299939,19.769036740349826,19.844450922436387,19.581021699579004,20.3806028656227 
 06/24  06:00:00,10.837499999999999,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,6853747.831928439,18572756.181587853,76662.33310259282,0.0,1095397.146240536,363354.1537902459,7188386.427451516,15701755.23764861,3723537.4180485713,792350.8232215743,2016994.0535347648,8899705.04610426,20815034.88979455,1027825.4396235393,148976475.8627041,5225073.771699813,26699115.138312772,59544648.98801885,3083476.318870616,19.1345636244393,19.605480248055663,21.023385063114365,21.48678442316781,19.73269586245983,20.385881944589 
 06/24  07:00:00,13.3875,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,889655.6417552186,12273702.211144153,23056746.839245338,722269.8064310264,0.0,2059552.6557604098,658758.3952857659,12152344.595327333,18681305.63102349,4467449.749164214,1389342.5926221774,3550714.9589963052,14632769.542326476,26031515.837563604,1802234.0852042865,349597226.8934348,9383921.194555005,43898308.6269794,74467205.14188278,5406702.255612858,19.77789732518678,22.09523545248483,22.23607902231725,22.438577242833464,22.113308795494433,21.99179911662135 
 06/24  08:00:00,15.4625,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,2516748.462658217,15092475.240822427,18878017.933265317,1426674.367950433,0.0,2971150.9923924543,933311.3893758104,14707941.576128257,15108054.57857624,3753236.0167273544,1936320.1336404553,4959824.738540126,17657847.462469682,23836076.04589678,2511765.034229502,558775928.7156227,13241155.174823329,52973542.387409024,68186807.70506538,7535295.102688502,20.604511805458387,22.19934939431036,23.157690932449835,23.022214882120515,22.19854735070789,22.20000515716614 
 06/24  09:00:00,17.1625,5132160.000000001,2216160.0,5132160.000000001,2216160.0,9603360.0,1520640.0000000002,656640.0,1520640.0000000002,656640.0,2845440.0000000005,0.0,3870813.612322565,15394069.307610538,11230592.526013674,2014359.1954716234,0.0,3649838.787268149,1133759.265650466,14884227.777711146,9089274.188018028,2386171.2878927295,2334805.8728333595,5991645.317592628,18188331.403046347,17850774.404675834,3028674.675850614,744518973.429163,16080689.129862834,54564994.20913902,51064920.223212,9086024.02755184,22.246510593511196,22.600147538269585,23.897531881681726,23.862755417627497,22.200127755498194,23.03191705645824 
 06/24  10:00:00,18.4875,5417280.0,2339280.0,5417280.0,2339280.0,10136879.999999998,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,4386866.905766736,12869100.471384518,5701368.352937099,2318167.309883917,0.0,3946149.32890738,1227185.6467271573,12418740.377982257,5183700.859465834,1308114.2535127795,2553223.6751894522,6559099.13851681,15946397.00347716,10040178.024483657,3312002.927868446,858828985.283819,17531564.278438553,47839191.01043147,28721492.87331801,9936008.783605335,23.77959116168217,23.77893214638307,23.899060102875392,23.89903615326622,22.79614723356466,23.88619721248022 
 06/24  11:00:00,19.2125,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,4395384.204077143,7957284.948759502,4563432.338159961,2192443.5231772023,0.0,3870654.2930874224,1235055.1493582614,7769296.343029883,4361893.57836701,1055964.4721840932,2419736.583619655,9815259.840516523,11107969.626911862,6298341.304259338,3138845.502450555,793039673.9927373,21374576.775345817,33323908.880735576,18017386.19005335,9416536.507351661,24.95401084697996,23.8984147413127,23.898840480094847,23.898520916307103,23.296256189837266,23.898236907985943 
 06/24  12:00:00,20.15,5417280.0,2339280.0,5417280.0,2339280.0,10136879.999999998,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5356617.729772203,4793721.219307957,5800278.305060655,2688194.803833174,0.0,4374225.349295704,1413168.426357863,4747048.569375408,5076678.658877304,1229005.7526980238,2816259.6939757313,16368024.375678606,7793103.894642054,7330452.774968753,3653209.2517877063,834130134.6753634,31010196.99188543,23379311.683926154,20969901.790689297,10959627.755363114,25.764970877808388,23.89832615282749,23.89887652724382,23.898451293906827,23.549341559103112,23.898166730559794 
 06/24  13:00:00,20.6,4561920.0,1969920.0000000002,4561920.0,1969920.0000000002,8536320.000000002,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5124811.465181834,2589302.8037571427,5437410.095084537,2605065.416677201,0.0,4239344.118506893,1293155.779468848,2756384.419479386,4758026.582469236,1151863.734987316,2709518.2219905965,23220649.604662705,4174320.6114879954,6870336.19979997,3971890.3358299313,996630382.9515133,39072259.53162515,12522961.834463984,19653666.66991958,11915671.00748979,26.267461732024,23.89892728820991,23.899174328076132,23.898997858785478,23.3942635975763,23.898777651042284 
 06/24  14:00:00,20.6,5132160.000000001,2216160.0,5132160.000000001,2216160.0,9603360.0,3421440.0,1477440.0000000002,3421440.0,1477440.0000000002,6402240.0,0.0,5095197.912545058,2419620.2920944495,5335818.195733162,4776135.364544138,0.0,4066579.765800127,1435044.195663032,2607635.94013397,4700606.892083603,1137963.0856565412,4580931.563083244,25645956.328182377,3382585.6905771717,6787425.234381825,8288764.254234541,919494697.2601492,41474126.166314065,10147757.071731512,19416486.940977514,24866292.762703612,26.683018813358146,23.89884275181537,23.899021061865316,23.898891731400145,23.80748858630334,23.898568725292506 
 06/24  15:00:00,20.6,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,3041280.0000000005,1313280.0,3041280.0000000005,1313280.0,5690880.000000001,0.0,5721284.3818104,2324123.907729561,5096596.496483483,9963716.266723296,0.0,3906444.3141706022,2101747.473198427,2514691.427266204,4533062.178098288,1097402.4295350376,9410129.267358966,26872025.171795912,3262019.4817727255,6545499.618030798,13364638.495512027,836134529.4709529,41953766.542773485,9786058.44531817,18724421.03846515,40093915.48653606,27.021849330059762,23.89845438928092,23.898589240016875,23.89850495612241,23.8981999811907,23.898217667771274 
 06/24  16:00:00,20.6,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,2661119.9999999995,1149120.0,2661119.9999999995,1149120.0,4979519.999999999,0.0,5817919.80455657,1941172.6550288051,4206438.554162889,14534375.641245108,0.0,3379780.12528845,2694268.245364925,2164158.4152119523,3901180.3011057554,944431.0649812708,13823007.147958815,24366442.58121312,2807313.3886404485,5633095.944311427,17111672.249491468,673711547.6109697,40672739.30406314,8421940.165921342,16114348.234136786,51335016.74847439,27.24796036586382,23.89831233224257,23.898443709784885,23.898376219769595,23.89838128655763,23.89806946660291 
 06/24  17:00:00,20.6,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,1900800.0,820800.0,1900800.0,820800.0,3556800.0,0.0,4630806.410002472,1453117.590935243,3084469.844511377,16407414.605156936,0.0,2588701.2161114924,2407015.103137424,1711456.9667091356,3085126.3741993625,746873.7567348657,15729435.135636842,18547265.93813253,2220075.953291052,4454757.669432703,18435553.223678213,471643355.38212335,33349878.000421688,6660227.859873154,12743528.087147651,55306659.67103462,27.392201495573612,23.89838002894382,23.764583939469055,23.898428116448045,23.89846707807899,23.898128302712067 
 06/24  18:00:00,20.225,5702400.0,2462400.0,5702400.0,2462400.0,10670400.0,1900800.0,820800.0,1900800.0,820800.0,3556800.0,0.0,2084628.1559532247,762293.9187589504,1476018.654727381,14875758.691405892,0.0,1611117.195317679,1208620.8377482411,1088228.4232094805,1961674.9207855104,474899.0283938909,14418622.829581264,10773910.643772654,1411633.3632978806,2832553.7881964054,16586367.40356807,260537606.8549055,20832756.02746299,4234900.08989364,8102961.246561848,49759102.21070419,27.31469865361178,23.898273001662304,23.4842818664618,23.89827867101443,23.89827671278985,23.897841826232984 
 06/24  19:00:00,18.9375,3421440.0,1477440.0,3421440.0,1477440.0,6402239.999999999,1140480.0,492479.99999999994,1140480.0,492479.99999999994,2134080.0,0.0,146148.7698058714,129324.15624575868,127086.05626131737,8918673.294744281,0.0,777327.9275670244,324653.1445891821,535559.1627023291,965415.8590818299,233716.1211656965,8984120.821880858,3445194.8640342774,694719.2022983537,1394008.92566446,10355929.076139446,87478745.3642048,7259881.652788617,2084157.6068950605,3987779.631613906,31067787.228418328,26.955947411335817,23.45533736232091,22.44218475367569,23.385634083929496,23.89844367230704,23.858103778483404 
 06/24  20:00:00,16.2375,1140480.0,492480.00000000006,1140480.0,492480.00000000006,2134080.0000000005,1140480.0,492479.99999999994,1140480.0,492479.99999999994,2134080.0,0.0,0.0,0.0,0.0,726514.6966108076,0.0,57693.839435800066,21016.72859793624,50502.63999212967,94846.02271322758,22963.391593611763,869594.062516133,127853.14584255767,65511.25666912371,140368.27376817734,1010383.6474054138,5294915.175170577,314489.0175516804,196533.77000737106,401545.30774667056,3031150.94221624,25.808159410507077,22.32085989890635,22.201589444170843,22.306596363316128,23.005384622618074,22.821517457528298 
 06/24  21:00:00,13.625,1140480.0,492480.00000000006,1140480.0,492480.00000000006,2134080.0000000005,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.20255748002808,21.86539956360191,21.876953254091138,21.81681721908377,22.82743777686595,22.477497883593728 
 06/24  22:00:00,11.7375,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.225047790761987,21.13617670703625,21.226861707611445,21.094114021044952,21.97377620371741,22.093483205171392 
 06/24  23:00:00,10.4125,285120.0,123120.00000000001,285120.0,123120.00000000001,533520.0000000001,76032.0,32832.0,76032.0,32832.0,142272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13328081797725,20.5541711351895,20.646746718862715,20.526043138993394,21.07722227296372,21.60514643043377 
